"OBJECTID,N,9,0","GIS_ID,C,16","WEB_URL,C,125","NAME,C,16","NBH_NAMES,C,254","Area,N,19,11","CLUSTER,C,254","Cluster_Na,C,254","PopTotal,N,19,11","PopU18,N,19,11","R_PopU18,N,19,11","PopU5,N,19,11","R_PopU5,N,19,11","PopNHW,N,19,11","PopNHB,N,19,11","PopNHO,N,19,11","PopHisp,N,19,11","PopNHW18,N,19,11","PopNHB18,N,19,11","PopNHO18,N,19,11","PopHisp18,N,19,11","ChildPov,N,19,11","ConcPov,N,19,11","R_ConcPov,N,19,11","NRTraveler,N,19,11","woHSDiplom,N,19,11","Nr25OrOlde,N,19,11","Employ1624,N,19,11","R_Employ16,N,19,11","SingleMomF,N,19,11","HomeOwn,N,19,11","R_HomeOwn,N,19,11","Reg_Vacant,N,19,11","MedFamInc,N,19,11","MedFamIncR,N,19,11","Voter_Turn,N,19,11","R_Voter_Tu,N,19,11","Library,N,19,11","InfantTod_,N,19,11","Medicaid_c,C,254","Medicaid_d,C,254","Grocery_St,N,19,11","Rec_Center,N,19,11","Bus_Stops,N,19,11","Metro_Stat,N,19,11","Rate_Asthm,N,19,11","Crime_rate,N,19,11","R_Crime_ra,N,19,11","Shape_Leng,N,19,11","Shape_Area,N,19,11","c_name,C,80","groc,N,24,15","rec,N,24,15"
15,Nbclus_004,http://www.neighborhoodaction.dc.gov/neighborhoodact/cwp/view.asp?a=1163&q=487308,Cluster 4,"Georgetown, Burleith/Hillandale",3381461.62596,Cluster 4,"Georgetown, Burleith/Hillandale",20464,1654,17,731,22,0.809519,0.03103,0.095044,0.064405,0.81318,0.017533,0.093712,0.075574,0.023733,0.108805,11,0.031586,0.002779,0.013037,0.979529,36,0.13247,0.465243,29,1,167040.3974,167000,0.2233,5,1,182,,,2,3,99,0,71.5691366838,4.837763,11,0.0892675002,0.000351215,"Georgetown, Burleith/Hillandale",2,3
16,Nbclus_006,http://www.neighborhoodaction.dc.gov/neighborhoodact/cwp/view.asp?a=1163&q=487308,Cluster 6,"Dupont Circle, Connecticut Avenue/K Street",2286330.22921,Cluster 6,"Dupont Circle, Connecticut Avenue/K Street",17318,481.987066,2,272.225404,5,0.724366,0.070306,0.122803,0.082523,0.56602,0.101538,0.199292,0.133147,0.238846,0.164939,20,0.046401,0,0.070427,0.95187,33,0.222633,0.265567,11,3,120826.1344,120800,0.265435,13,0,294,,,1,1,130,4,751.329021663,14.031643,26,0.069088583,0.0002374634,"Dupont Circle, Connecticut Avenue/K Street",1,1
17,Nbclus_003,http://www.neighborhoodaction.dc.gov/neighborhoodact/cwp/view.asp?a=1163&q=487308,Cluster 3,"Howard University, Le Droit Park, Cardozo/Shaw",1860056.61309,Cluster 3,"Howard University, Le Droit Park, Cardozo/Shaw",12174,951,7,391,7,0.406439,0.424346,0.074913,0.094299,0.167192,0.539432,0.088328,0.205047,0.333333,0.2004,24,0.075407,0.015928,0.135191,0.852682,24,0.101045,0.378987,23,19,110102.0657,110100,0.255407,10,0,143,,,3,1,66,2,886.28501069,18.810579,32,0.0703637751,0.0001932195,"Howard University, Le Droit Park, Cardozo/Shaw",1,1
18,Nbclus_001,http://www.neighborhoodaction.dc.gov/neighborhoodact/cwp/view.asp?a=1163&q=487308,Cluster 1,"Kalorama Heights, Adams Morgan, Lanier Heights",1894375.647,Cluster 1,"Kalorama Heights, Adams Morgan, Lanier Heights",18338,1314,8,628,19,0.688624,0.09772,0.085941,0.127712,0.469558,0.119482,0.136225,0.274733,0,0.049511,3,0.074605,0,0.044257,0.993517,39,0.234265,0.34562,19,2,139121.0062,139100,0.310735,22,0,100,,,3,3,45,0,409.816710715,8.615988,15,0.0641220219,0.000196784,"Kalorama Heights, Adams Morgan, Lanier Heights",3,3
19,Nbclus_021,http://www.neighborhoodaction.dc.gov/neighborhoodact/cwp/view.asp?a=1163&q=487322,Cluster 21,"Edgewood, Bloomingdale, Truxton Circle, Eckington",6030977.99003,Cluster 21,"Edgewood, Bloomingdale, Truxton Circle, Eckington",19481,3062,31,961,31,0.198295,0.68518,0.04666,0.069862,0.058131,0.795558,0.042455,0.103853,0.220163,0.179354,21,0.095574,0.021348,0.170152,0.866876,27,0.749343,0.408156,25,46,65626.0379,65600,0.278661,16,0,196,,,0,2,127,0,695.584203814,15.758944,27,0.1342399483,0.0006265238,"Edgewood, Bloomingdale, Truxton Circle, Eckington",0,2
20,Nbclus_002,http://www.neighborhoodaction.dc.gov/neighborhoodact/cwp/view.asp?a=1163&q=487308,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",3400110.41026,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",47378,6974,38,2518,38,0.304592,0.366963,0.062117,0.266326,0.116432,0.422139,0.051333,0.410094,0.278305,0.183493,22,0.080712,0.037863,0.244111,0.8649,26,0.092494,0.292351,15,38,44194.7045,44200,0.265081,12,1,339,,,3,4,129,0,332.586967493,12.241968,24,0.0958486371,0.0003532469,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",3,4
21,Nbclus_022,http://www.neighborhoodaction.dc.gov/neighborhoodact/cwp/view.asp?a=1163&q=487322,Cluster 22,"Brookland, Brentwood, Langdon",4813915.06176,Cluster 22,"Brookland, Brentwood, Langdon",8459,1845,19,503,12,0.134649,0.767939,0.036056,0.061354,0.063414,0.828726,0.03523,0.072628,0.413261,0.256518,28,0.140203,0.024883,0.169238,0.721518,12,0.729508,0.510057,33,16,58351.6416,58400,0.328527,26,1,129,,,1,2,120,1,554.063363201,20.45159,35,0.0987633885,0.0005001069,"Brookland, Brentwood, Langdon",1,2
22,Nbclus_024,http://www.neighborhoodaction.dc.gov/neighborhoodact/cwp/view.asp?a=1163&q=487322,Cluster 24,"Woodridge, Fort Lincoln, Gateway",3714822.81485,Cluster 24,"Woodridge, Fort Lincoln, Gateway",11723,1977.366993,21,556.765724,17,0.054677,0.849239,0.038299,0.057784,0.030316,0.821254,0.044918,0.10351,0.119114,0.115976,13,0.109609,0.011782,0.1467,0.743053,15,0.747967,0.590021,35,14,74468.3945,74500,0.372438,33,0,4,,,0,2,65,0,365.834517518,2.729676,6,0.1112766752,0.0003859209,"Woodridge, Fort Lincoln, Gateway",0,2
23,Nbclus_014,http://www.neighborhoodaction.dc.gov/neighborhoodact/cwp/view.asp?a=1163&q=487315,Cluster 14,"Cathedral Heights, McLean Gardens, Glover Park",2942410.56498,Cluster 14,"Cathedral Heights, McLean Gardens, Glover Park",11713,763.935135,5,339.416216,6,0.757153,0.050348,0.101258,0.091239,0.609949,0.059482,0.165501,0.165066,0.062956,0.078893,7,0.055571,0.006874,0.03659,0.961721,34,0.548984,0.353967,20,0,80856.7119,80900,0.289356,20,0,5,,,2,2,70,0,127.850052909,1.536754,4,0.0874680162,0.0003056922,"Cathedral Heights, McLean Gardens, Glover Park",2,2
24,Nbclus_015,http://www.neighborhoodaction.dc.gov/neighborhoodact/cwp/view.asp?a=1163&q=487315,Cluster 15,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",3983622.92529,Cluster 15,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",12829,1556.953137,15,532.105508,16,0.798938,0.037708,0.087412,0.07594,0.7468,0.02845,0.12353,0.101218,0.010722,0.081833,8,0.02678,0.007168,0.03598,1,40,0.546031,0.426409,27,2,171191.8874,171200,0.328493,24,1,70,,,1,3,82,2,80.6115509476,2.260503,5,0.106960285,0.0004138708,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone",1,2
