Gis_id,Nbh_longna,Zipcode,er_ast_10_cl,er_ast_10,dental_visit,prev_med_visit,medicaid_enroll,fs_client_2000,fs_client_2001,fs_client_2002,fs_client_2003,fs_client_2004,fs_client_2005,fs_client_2006,fs_client_2007,fs_client_2008,fs_client_2009,fs_client_2010,fs_client_2011,fs_client_2012
Nbclus_001,"Kalorama Heights, Adams Morgan, Lanier Heights",20009,56.8700571817197,56.8700571817197,654.360037849496,986.292370346916,1219.78394124915,1322.306851108,1231.44106570892,1227.41008608663,1238.57283052477,1211.76535384732,1224.82135650221,1170.98537450828,1147.32060775023,1138.01497690246,1286.48230489516,1519.03861139207,1716.94510764295,1762.11927836143
Nbclus_002,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",20059,241.686502323567,241.686502323567,2848.80222599709,4230.57447419774,5251.10305295315,4435.49510610756,4235.06826663568,4096.51330581644,4175.87284869081,4243.74464532737,4355.84752757521,4159.11747290971,3989.70724857486,3909.69933902788,4617.61343314253,5589.8945108132,6318.90323963751,6513.03501315319
Nbclus_003,"Howard University, Le Droit Park, Cardozo/Shaw",20059,86.8786717955321,86.8786717955321,758.32354240394,1085.16776659695,1440.28377285552,2133.0528043047,2031.27659872721,2056.98618498165,2206.2848685232,2228.98164554297,2239.87886991999,2128.82341728683,2015.20058271383,1923.11908666931,2083.12376825178,2340.65719229939,2608.18492439127,2652.91108977752
Nbclus_004,"Georgetown, Burleith/Hillandale",20418,13.9404435605371,13.9404435605371,24.5172777971823,43.4564128226048,71.7471910565213,24.4708490374186,23.3147410334193,24.1343600643372,21.4357425412434,24.6601502020589,27.7162402959045,28.1484392308625,36.6423196336972,27.258596198853,40.0213776692507,45.9247026812437,68.5716526235254,78.3844986633715
Nbclus_005,"West End, Foggy Bottom, GWU",20405,0.0100084292288674,0.0100084292288674,0.0175147511505179,0.0311373353786984,32.5132937934958,60.1075026070608,50.3856344028236,38.1153285429625,31.1786342166941,36.4905392605322,36.4687540299085,43.3221710100492,62.150894687066,62.6764207892733,59.117393109015,81.2821304637004,91.385667752601,101.466457216476
Nbclus_006,"Dupont Circle, Connecticut Avenue/K Street",20506,38.109669534035,38.109669534035,464.148821031861,699.731928604773,867.86855859646,1002.74469906065,935.160440429497,935.029991222345,952.595854590361,927.402226409938,942.839300949261,912.356500098547,922.292502378771,921.575410913775,1010.88069260412,1194.12986363883,1342.38019398006,1384.58154073914
Nbclus_007,"Shaw, Logan Circle",20009,66.2470054516924,66.2470054516924,608.206615585664,873.728174900124,1153.52902912445,1664.61779592356,1583.26872476155,1613.44561657711,1730.1997793608,1741.24952381242,1773.39428332042,1725.07318502991,1654.51149816688,1594.08598244342,1683.64122378259,1885.70418700721,2112.90736556025,2161.41432372448
Nbclus_008,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",20560,115.316916695352,115.316916695352,972.167349628829,1371.51277469013,1855.43411485364,3036.9957704308,2901.34892522242,2997.58226711568,3293.66224032755,3384.16426419518,3440.59476989805,3318.75112650838,3063.21856611203,2886.44047594111,3009.89914123791,3327.43833231473,3712.05181613246,3775.24363426439
Nbclus_009,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",20593,93.6884099383076,93.6884099383076,2818.74530256062,3273.34778347878,5312.01750310262,1707.14613540766,1652.99371467402,1701.40039225825,1865.65042130724,2064.43792462947,2024.00221602948,1956.17706609609,1832.38122115492,1967.88710982876,2116.59790625079,2386.68082993678,2545.98494452855,2630.8121941903
Nbclus_010,"Hawthorne, Barnaby Woods, Chevy Chase",20016,14.9227445839071,14.9227445839071,54.216965474762,86.1556610426966,112.505109336351,57.5143123798622,49.4739716981111,47.9320080596543,50.5319806082979,62.7744646411609,61.8618651052668,71.8440052742141,64.5521568821853,63.3084539719461,77.2228631379313,108.143834421439,123.95867511811,147.500367663316
Nbclus_011,"Friendship Heights, American University Park, Tenleytown",20016,13.1059743757106,13.1059743757106,30.1889157782831,49.8946707666582,70.5893968158586,28.2760829274986,23.9849675503244,24.8735223376059,25.4327970187898,30.3392054390238,31.4301548591151,31.8122542867208,28.1200503763084,30.1637113491479,43.6793701446444,55.9070263346924,70.6338096776228,85.4656513422068
Nbclus_012,"North Cleveland Park, Forest Hills, Van Ness",20016,12.0438960150613,12.0438960150613,30.5072367502523,44.5156618164588,69.9195831939183,25.9688805585173,25.4707538985012,29.6898953793694,28.4337495761471,40.4337467234584,40.0213926046514,43.4621343156013,40.4172865332349,34.0266440999683,44.0054251940514,55.8164430189849,67.9259335389277,74.9167947996933
Nbclus_013,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Geo",20016,33.5770446735941,33.5770446735941,64.746064339354,111.445858949618,170.553289741337,61.2540932456914,54.4651820825157,56.8294264666513,54.2913807760509,62.7506522858325,68.216805715332,67.1540893471881,64.3997829147538,65.7875509898133,99.0607736741763,119.037445115405,152.505698823917,184.108561161674
Nbclus_014,"Cathedral Heights, McLean Gardens, Glover Park",20418,10.7804133995136,10.7804133995136,20.4618397929352,35.3739983331599,54.9355469817819,19.5343096684678,17.6152606336108,18.3661287622472,17.3013103641908,20.0147068374644,21.8776865462735,21.6853553435212,21.1898235254163,21.1566385955237,31.6714213046182,37.7433387977746,48.1488496138582,57.925888768397
